Metric,Lambda,Success,MetricDistance,L2Distance,Run,Example
WassersteinAproximation-reg=5,1000,True,1.7392058372497559,9.891908645629883,3,49
WassersteinAproximation-reg=5,1000,True,2.0352694988250732,8.40356731414795,3,50
WassersteinAproximation-reg=5,1000,True,1.960702896118164,9.587139129638672,3,51
WassersteinAproximation-reg=5,1000,True,0.949881911277771,6.4412760734558105,3,52
WassersteinAproximation-reg=5,1000,True,2.1831166744232178,8.61650276184082,3,53
WassersteinAproximation-reg=5,1000,True,1.2535920143127441,7.394681930541992,3,54
WassersteinAproximation-reg=5,1000,True,1.548799991607666,8.742877960205078,3,55
WassersteinAproximation-reg=5,1000,True,1.4779634475708008,7.264475345611572,3,56
WassersteinAproximation-reg=5,1000,True,1.4268813133239746,8.481505393981934,3,57
WassersteinAproximation-reg=5,1000,True,1.1092041730880737,8.218141555786133,3,58
WassersteinAproximation-reg=5,1000,True,1.0987765789031982,6.696413516998291,3,59
WassersteinAproximation-reg=5,1000,True,1.0315561294555664,6.870089530944824,3,60
WassersteinAproximation-reg=5,1000,True,1.7583802938461304,10.231562614440918,3,61
WassersteinAproximation-reg=5,1000,True,0.5804930329322815,5.3357672691345215,3,62
WassersteinAproximation-reg=5,1000,True,1.9845930337905884,8.43403434753418,3,63
WassersteinAproximation-reg=5,1000,True,0.9576582312583923,6.039538860321045,3,64
WassersteinAproximation-reg=5,1000,True,1.5346965789794922,9.37135124206543,3,65
WassersteinAproximation-reg=5,1000,True,1.2478246688842773,8.207275390625,3,66
WassersteinAproximation-reg=5,1000,True,1.229788899421692,7.404747486114502,3,67
WassersteinAproximation-reg=5,1000,True,1.5907742977142334,8.452465057373047,3,68
WassersteinAproximation-reg=5,1000,True,0.7323906421661377,6.773684978485107,3,69
WassersteinAproximation-reg=5,1000,True,1.9564253091812134,7.9521331787109375,3,70
WassersteinAproximation-reg=5,1000,True,0.9457710981369019,7.373690605163574,3,71
WassersteinAproximation-reg=5,1000,True,1.689040184020996,7.701561450958252,3,72
WassersteinAproximation-reg=5,1000,True,1.144352912902832,7.000739097595215,3,73
WassersteinAproximation-reg=5,1000,True,1.6526157855987549,9.549505233764648,3,74
WassersteinAproximation-reg=5,1000,True,1.5221847295761108,5.993884086608887,3,75
WassersteinAproximation-reg=5,1000,True,1.3170297145843506,8.2179594039917,3,76
WassersteinAproximation-reg=5,1000,True,1.0407181978225708,7.231738090515137,3,77
WassersteinAproximation-reg=5,1000,True,1.3557360172271729,8.83513355255127,3,78
WassersteinAproximation-reg=5,1000,True,1.683672547340393,7.201948165893555,3,79
WassersteinAproximation-reg=5,1000,True,2.0842368602752686,10.171561241149902,3,80
WassersteinAproximation-reg=5,1000,True,1.0566916465759277,7.644220352172852,3,81
WassersteinAproximation-reg=5,1000,True,2.2235348224639893,9.550541877746582,3,82
WassersteinAproximation-reg=5,1000,True,1.3877977132797241,5.605884552001953,3,83
WassersteinAproximation-reg=5,1000,True,1.6429498195648193,9.62962818145752,3,84
WassersteinAproximation-reg=5,1000,True,1.5789587497711182,6.791012763977051,3,85
WassersteinAproximation-reg=5,1000,True,1.4778305292129517,8.50880241394043,3,86
WassersteinAproximation-reg=5,1000,True,1.1864105463027954,7.031111717224121,3,87
WassersteinAproximation-reg=5,1000,True,1.845931053161621,9.027242660522461,3,88
WassersteinAproximation-reg=5,1000,True,0.9949058294296265,7.3835930824279785,3,89
WassersteinAproximation-reg=5,1000,True,2.0303170680999756,9.922005653381348,3,90
WassersteinAproximation-reg=5,1000,True,0.9948195815086365,5.9760637283325195,3,91
WassersteinAproximation-reg=5,1000,True,1.3252230882644653,8.446640014648438,3,92
WassersteinAproximation-reg=5,1000,True,0.9114805459976196,6.497397422790527,3,93
WassersteinAproximation-reg=5,1000,True,1.1299209594726562,8.668685913085938,3,94
WassersteinAproximation-reg=5,1000,True,1.5916235446929932,8.321052551269531,3,95
WassersteinAproximation-reg=5,1000,True,1.1221991777420044,8.066184043884277,3,96
WassersteinAproximation-reg=5,1000,True,1.252251386642456,7.9259724617004395,3,97
WassersteinAproximation-reg=5,1000,True,1.6844632625579834,8.514657020568848,3,98
WassersteinAproximation-reg=5,1000,True,1.4584046602249146,7.308156490325928,3,99
WassersteinAproximation-reg=5,1000,True,0.894582211971283,5.435728549957275,3,100
WassersteinAproximation-reg=5,100,True,1.4949872493743896,8.604004859924316,3,1
WassersteinAproximation-reg=5,100,True,1.3864084482192993,8.52540111541748,3,2
WassersteinAproximation-reg=5,100,True,1.933442234992981,7.922474384307861,3,3
WassersteinAproximation-reg=5,100,True,1.223585605621338,5.0936737060546875,3,4
